kernel_name,instances,total_ms,avg_us
"<unnamed>::direct_grouped_conv2d_nhwc_kernel(const __half *, const __half *, float *, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",1919,93.279207,48.60823710265764
_5x_cudnn_ampere_fp16_scudnn_fp16_128x32_relu_interior_nn_v1,4,0.183585,45.89625
_5x_cudnn_ampere_fp16_scudnn_fp16_128x32_relu_small_nn_v1,4,0.190497,47.62425
_5x_cudnn_ampere_fp16_scudnn_fp16_128x64_relu_small_nn_v1,6,0.265793,44.298833333333334
sm80_xmma_fprop_implicit_gemm_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,4,0.108736,27.184
sm80_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x64x64_stage3_warpsize2x2x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,2,0.030496,15.248
sm80_xmma_fprop_implicit_gemm_indexed_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize256x64x32_stage3_warpsize4x1x1_g1_tensor16x8x16_execute_kernel__5x_cudnn,6,0.139618,23.26966666666667
sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_f16f16_f16f32_f32_nhwckrsc_nhwc_tilesize128x32x64_stage1_warpsize4x1x1_g1_tensor16x8x16_aligna4_alignc4_execute_kernel__5x_cudnn,2,0.048608,24.304
"void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",1313,35.884745,27.330346534653465
"void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)128, (int)1, (int)8>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)",303,5.291671,17.464260726072606
