model,variant,setup,mean_ms,median_ms,p95_ms,total_forward_ms,timed_batches,samples,overhead_vs_cutlass_test_pct,overhead_vs_fresh_pct,tail_dup,tail_dup_print,runtime_tail_duplicate,runtime_tail_duplicate_print,strict,accuracy_pct,standalone_calls,direct_calls,fallback_calls,cutlass_dir,extension_name,device
resnet,pytorch_original,pytorch_original,3.9320127964019775,3.7590880393981934,3.9323201179504395,393.20127964019775,100,10000,-32.74956235130668,-16.869679881415966,False,False,,,True,68.82,,,,,,NVIDIA A100-PCIE-40GB
resnet,custom_conv_fresh,custom_conv_fresh,4.729938235282898,4.206655979156494,5.574304103851318,472.9938235282898,100,10000,-19.102395428332674,0.0,False,False,False,False,True,68.84,2121,0,0,/net/netscratch/yjia305/cutlass_fresh,torch_cutlass_test_conv_ext_v1,NVIDIA A100-PCIE-40GB
resnet,custom_conv_cutlass_test,custom_conv_cutlass_test,5.846821126937866,5.684736013412476,6.405632019042969,584.6821126937866,100,10000,0.0,23.613054464931448,False,False,False,False,True,68.84,2121,0,0,/net/netscratch/yjia305/cutlass_test,torch_cutlass_test_conv_ext_v1,NVIDIA A100-PCIE-40GB
resnet,intra_warp_taildup,custom_conv_cutlass_test,6.068638725280762,5.909823894500732,6.426208019256592,606.8638725280762,100,10000,3.7938153661127627,28.30270551974334,True,False,True,False,True,68.84,2121,0,0,/net/netscratch/yjia305/cutlass_intra_warp,torch_cutlass_test_conv_ext_v1_taildup,NVIDIA A100-PCIE-40GB
mobilenet,pytorch_original,pytorch_original,9.753340773582458,7.965983867645264,21.615039825439453,975.3340773582458,100,10000,-30.203303854862963,-28.578251180042102,False,False,,,True,74.3,,,,,,NVIDIA A100-PCIE-40GB
mobilenet,custom_conv_fresh,custom_conv_fresh,13.655981454849243,12.555903911590576,21.263744354248047,1365.5981454849243,100,10000,-2.275291072635788,0.0,False,False,False,False,True,74.31,3535,1717,0,/net/netscratch/yjia305/cutlass_fresh,torch_cutlass_test_conv_ext_v1,NVIDIA A100-PCIE-40GB
mobilenet,custom_conv_cutlass_test,custom_conv_cutlass_test,13.973929014205932,12.52228832244873,21.239328384399414,1397.3929014205933,100,10000,0.0,2.3282658987779037,False,False,False,False,True,74.31,3535,1717,0,/net/netscratch/yjia305/cutlass_test,torch_cutlass_test_conv_ext_v1,NVIDIA A100-PCIE-40GB
mobilenet,intra_warp_taildup,custom_conv_cutlass_test,14.26206202507019,12.578303813934326,22.595455169677734,1426.206202507019,100,10000,2.0619326931698323,4.438205867698564,True,False,True,False,True,74.31,3535,1717,0,/net/netscratch/yjia305/cutlass_intra_warp,torch_cutlass_test_conv_ext_v1_taildup,NVIDIA A100-PCIE-40GB
shufflenet,pytorch_original,pytorch_original,10.055136342048645,9.327919960021973,16.340063095092773,1005.5136342048645,100,10000,-25.84400416445196,-28.75096419836408,False,False,,,True,72.64,,,,,,NVIDIA A100-PCIE-40GB
shufflenet,custom_conv_fresh,custom_conv_fresh,14.112663040161133,12.31008005142212,25.276704788208008,1411.2663040161133,100,10000,4.079999120276345,0.0,False,False,False,False,False,72.62,2828,1919,909,/net/netscratch/yjia305/cutlass_fresh,torch_cutlass_test_conv_ext_v1,NVIDIA A100-PCIE-40GB
shufflenet,custom_conv_cutlass_test,custom_conv_cutlass_test,13.55943808555603,12.289743900299072,25.174720764160156,1355.943808555603,100,10000,0.0,-3.9200606790565473,False,False,False,False,False,72.62,2828,1919,909,/net/netscratch/yjia305/cutlass_test,torch_cutlass_test_conv_ext_v1,NVIDIA A100-PCIE-40GB
shufflenet,intra_warp_taildup,custom_conv_cutlass_test,13.698496341705322,12.281791687011719,24.021087646484375,1369.8496341705322,100,10000,1.025545861649113,-2.934716837475637,True,False,True,False,False,72.62,2828,1919,909,/net/netscratch/yjia305/cutlass_intra_warp,torch_cutlass_test_conv_ext_v1_taildup,NVIDIA A100-PCIE-40GB
